neuron,position,region,synapses
ADAL,0.21,H,47
ADAR,0.21,H,40
ADEL,0.21,H,57
ADER,0.21,H,51
ADFL,0.13,H,52
ADFR,0.14,H,61
ADLL,0.13,H,50
ADLR,0.14,H,51
AFDL,0.13,H,21
AFDR,0.14,H,32
AIAL,0.15,H,88
AIAR,0.16,H,99
AIBL,0.14,H,119
AIBR,0.15,H,126
AIML,0.19,H,32
AIMR,0.19,H,27
AINL,0.16,H,21
AINR,0.16,H,25
AIYL,0.19,H,75
AIYR,0.18,H,68
AIZL,0.17,H,118
AIZR,0.17,H,84
ALA,0.12,H,11
ALML,0.46,M,29
ALMR,0.46,M,14
ALNL,0.82,T,10
ALNR,0.82,T,10
AQR,0.21,H,61
AS01,0.25,M,36
AS02,0.29,M,34
AS03,0.35,M,42
AS04,0.4,M,29
AS05,0.47,M,34
AS06,0.51,M,35
AS07,0.57,M,27
AS08,0.62,M,18
AS09,0.68,M,28
AS10,0.73,M,9
AS11,0.79,M,23
ASEL,0.15,H,54
ASER,0.15,H,58
ASGL,0.14,H,20
ASGR,0.14,H,23
ASHL,0.14,H,51
ASHR,0.14,H,60
ASIL,0.14,H,15
ASIR,0.15,H,14
ASJL,0.16,H,23
ASJR,0.16,H,22
ASKL,0.13,H,41
ASKR,0.13,H,33
AUAL,0.15,H,38
AUAR,0.16,H,42
AVAL,0.13,H,493
AVAR,0.13,H,478
AVBL,0.15,H,185
AVBR,0.15,H,203
AVDL,0.16,H,132
AVDR,0.16,H,141
AVEL,0.13,H,171
AVER,0.14,H,167
AVFL,0.2,H,84
AVFR,0.2,H,68
AVG,0.22,H,37
AVHL,0.15,H,51
AVHR,0.15,H,46
AVJL,0.15,H,72
AVJR,0.15,H,62
AVKL,0.2,H,97
AVKR,0.19,H,55
AVL,0.16,H,73
AVM,0.44,M,46
AWAL,0.14,H,28
AWAR,0.14,H,38
AWBL,0.14,H,33
AWBR,0.14,H,27
AWCL,0.14,H,40
AWCR,0.14,H,41
BAGL,0.1,H,37
BAGR,0.11,H,35
BDUL,0.31,M,26
BDUR,0.31,M,38
CEPDL,0.12,H,62
CEPDR,0.13,H,61
CEPVL,0.11,H,49
CEPVR,0.12,H,49
DA01,0.25,M,72
DA02,0.3,M,57
DA03,0.37,M,96
DA04,0.45,M,84
DA05,0.54,M,61
DA06,0.65,M,55
DA07,0.73,M,7
DA08,0.8,M,26
DA09,0.8,M,30
DB01,0.24,M,65
DB02,0.21,M,85
DB03,0.3,M,107
DB04,0.39,M,39
DB05,0.51,M,11
DB06,0.62,M,18
DB07,0.72,M,15
DD01,0.24,M,148
DD02,0.34,M,145
DD03,0.45,M,155
DD04,0.58,M,84
DD05,0.69,M,59
DD06,0.8,M,36
DVA,0.81,T,184
DVB,0.81,T,34
DVC,0.81,T,91
FLPL,0.2,H,82
FLPR,0.2,H,57
HSNL,0.55,M,56
HSNR,0.55,M,64
IL1DL,0.08,H,34
IL1DR,0.09,H,38
IL1L,0.08,H,38
IL1R,0.09,H,47
IL1VL,0.08,H,38
IL1VR,0.11,H,44
IL2DL,0.07,H,31
IL2DR,0.08,H,29
IL2L,0.08,H,41
IL2R,0.09,H,32
IL2VL,0.08,H,35
IL2VR,0.09,H,44
LUAL,0.82,T,32
LUAR,0.82,T,29
OLLL,0.08,H,75
OLLR,0.09,H,93
OLQDL,0.09,H,33
OLQDR,0.1,H,28
OLQVL,0.1,H,37
OLQVR,0.11,H,39
PDA,0.81,T,12
PDB,0.8,T,11
PDEL,0.64,M,60
PDER,0.64,M,75
PHAL,0.81,T,40
PHAR,0.82,T,31
PHBL,0.82,T,42
PHBR,0.82,T,45
PHCL,0.83,T,25
PHCR,0.83,T,25
PLML,0.83,T,4
PLMR,0.83,T,30
PLNL,0.83,T,13
PLNR,0.82,T,10
PQR,0.82,T,44
PVCL,0.82,T,188
PVCR,0.82,T,186
PVDL,0.65,M,23
PVDR,0.65,M,43
PVM,0.65,M,39
PVNL,0.83,T,59
PVNR,0.83,T,62
PVPL,0.8,T,65
PVPR,0.79,T,80
PVQL,0.82,T,45
PVQR,0.81,T,57
PVR,0.82,T,56
PVT,0.79,T,62
PVWL,0.83,T,13
PVWR,0.83,T,8
RIAL,0.13,H,208
RIAR,0.13,H,196
RIBL,0.15,H,92
RIBR,0.15,H,91
RICL,0.16,H,56
RICR,0.17,H,50
RID,0.11,H,42
RIFL,0.22,H,33
RIFR,0.21,H,50
RIGL,0.23,H,71
RIGR,0.22,H,61
RIH,0.14,H,109
RIML,0.15,H,90
RIMR,0.16,H,119
RIPL,0.09,H,51
RIPR,0.1,H,63
RIR,0.15,H,58
RIS,0.19,H,69
RIVL,0.14,H,26
RIVR,0.15,H,36
RMDDL,0.14,H,86
RMDDR,0.15,H,94
RMDL,0.13,H,73
RMDR,0.13,H,66
RMDVL,0.12,H,86
RMDVR,0.12,H,85
RMED,0.1,H,26
RMEL,0.1,H,33
RMER,0.11,H,42
RMEV,0.12,H,37
RMFL,0.15,H,30
RMFR,0.15,H,21
RMGL,0.22,H,52
RMGR,0.22,H,43
RMHL,0.14,H,26
RMHR,0.15,H,24
SAADL,0.14,H,42
SAADR,0.14,H,38
SAAVL,0.12,H,61
SAAVR,0.13,H,40
SABD,0.23,H,32
SABVL,0.2,H,30
SABVR,0.2,H,17
SDQL,0.64,M,17
SDQR,0.32,M,30
SIADL,0.15,H,6
SIADR,0.16,H,5
SIAVL,0.17,H,8
SIAVR,0.17,H,9
SIBDL,0.14,H,5
SIBDR,0.14,H,10
SIBVL,0.14,H,14
SIBVR,0.15,H,11
SMBDL,0.15,H,38
SMBDR,0.17,H,40
SMBVL,0.16,H,39
SMBVR,0.16,H,34
SMDDL,0.14,H,61
SMDDR,0.15,H,74
SMDVL,0.12,H,61
SMDVR,0.13,H,68
URADL,0.08,H,19
URADR,0.09,H,20
URAVL,0.1,H,21
URAVR,0.11,H,22
URBL,0.09,H,21
URBR,0.1,H,25
URXL,0.12,H,40
URXR,0.13,H,37
URYDL,0.08,H,23
URYDR,0.09,H,21
URYVL,0.09,H,26
URYVR,0.1,H,29
VA01,0.23,M,40
VA02,0.27,M,73
VA03,0.31,M,90
VA04,0.37,M,68
VA05,0.43,M,60
VA06,0.5,M,67
VA07,0.55,M,60
VA08,0.6,M,110
VA09,0.66,M,92
VA10,0.71,M,12
VA11,0.77,M,64
VA12,0.8,M,71
VB01,0.21,M,54
VB02,0.19,M,82
VB03,0.28,M,80
VB04,0.32,M,53
VB05,0.38,M,65
VB06,0.45,M,79
VB07,0.5,M,14
VB08,0.57,M,113
VB09,0.61,M,72
VB10,0.67,M,44
VB11,0.72,M,31
VC01,0.33,M,64
VC02,0.38,M,76
VC03,0.46,M,85
VC04,0.53,M,19
VC05,0.55,M,21
VD01,0.25,M,98
VD02,0.26,M,112
VD03,0.31,M,111
VD04,0.36,M,101
VD05,0.42,M,109
VD06,0.47,M,103
VD07,0.52,M,54
VD08,0.59,M,37
VD09,0.64,M,55
VD10,0.69,M,43
VD11,0.74,M,18
VD12,0.79,M,34
VD13,0.8,M,45
